ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
227,48,14,0,0,0,Работник склада (кладовщик)
228,48,14,0,0,0,Специалист склада / кладовщик
229,48,14,0,0,0,Кладовщик на склад
230,48,14,0,0,0,Сотрудник склада
231,49,14,1,0,1,Кладовщик-экспедитор
232,49,14,0,0,0,Кладовщик- экспедитор
233,49,14,0,0,0,Кладовщик -экспедитор
234,49,14,0,0,0,Кладовщик - экспедитор
235,49,14,0,0,0,Кладовщик экспедитор
236,49,14,0,0,0,Кладовщик/экспедитор
237,49,14,0,1,1,Экспедитор-помощник кладовщика
238,49,14,0,2,1,Младший кладовщик-экспедитор
239,49,14,0,3,1,Ведущий кладовщик-экспедитор
240,50,14,1,0,1,Менеджер склада
241,50,14,0,0,0,Менеджер на склад
242,50,14,0,1,1,Менеджер склада стажер
243,50,14,0,2,1,Младший менеджер склада
244,50,14,0,3,1,Ведущий менеджер склада
245,50,14,0,4,0,Заведующий складом
246,50,14,0,4,0,Руководитель склада
247,50,14,0,4,1,Начальник склада
248,51,15,1,0,1,Оператор
249,51,15,0,1,1,Помощник оператора
250,51,15,0,2,1,Ведущий оператор
251,51,15,0,3,1,Главный оператор
252,52,15,1,0,1,Оператор логистических работ
253,53,15,1,0,1,Оператор склада
254,54,15,1,0,1,Оператор-упаковщик
255,55,16,1,0,1,Приемщик
256,56,16,1,0,1,Приемщик-сдатчик
257,56,16,0,0,0,Приемщик - сдатчик
258,56,16,0,0,0,Приемщик- сдатчик
259,56,16,0,0,0,Приемщик -сдатчик
260,56,16,0,0,0,Приемщик сдатчик
261,56,16,0,1,1,Стажер приемщик-сдатчик
262,56,16,0,2,1,Младший приемщик-сдатчик
263,56,16,0,3,1,Ведущий приемщик-сдатчик
264,56,16,0,4,0,Старший приемщик сдатчик
265,56,16,0,4,0,Старший приемщик -сдатчик
266,56,16,0,4,0,Старший приемщик- сдатчик
267,56,16,0,4,0,Старший приемщик - сдатчик
268,56,16,0,4,1,Старший приемщик-сдатчик
269,57,17,1,0,1,Водитель
270,58,17,1,0,1,Водитель погрузчика
271,58,17,0,0,0,Водитель-погрузчика
272,58,17,0,0,0,Водитель- погрузчика
273,58,17,0,0,0,Водитель -погрузчика
274,58,17,0,0,0,Водитель - погрузчика
275,58,17,0,0,0,Водитель погрузчика (карщик)
276,58,17,0,0,0,Водитель погрузчика-грузчик
277,59,17,1,0,1,Водитель технологического транспорта
278,60,17,1,0,1,Водитель-грузчик
279,60,17,0,0,0,Водитель- грузчик
280,60,17,0,0,0,Водитель -грузчик
281,60,17,0,0,0,Водитель - грузчик
282,60,17,0,0,0,Водитель грузчик
283,61,17,1,0,1,Водитель-менеджер
284,62,17,1,0,1,Водитель ПРТ
285,62,17,0,0,0,Водитель-ПРТ
286,62,17,0,0,0,Водитель- ПРТ
287,62,17,0,0,0,Водитель -ПРТ
288,62,17,0,0,0,Водитель - ПРТ
289,63,17,1,0,1,Перегонщик автомобилей
290,63,17,0,0,0,Техник-перегонщик
291,63,17,0,0,0,Техник-перегонщик автомобилей
292,63,17,0,0,0,Приемщик-перегонщик автомобилей
293,63,17,0,0,0,Техник перегонщик автомобилей
294,64,18,1,0,1,Грузчик
295,64,18,0,0,0,Водитель-грузчик
296,64,18,0,0,0,Грузчик на склад
297,65,18,1,0,1,Грузчик-комплектовщик
298,65,18,0,0,0,Грузчик- комплектовщик
299,65,18,0,0,0,Грузчик -комплектовщик
300,65,18,0,0,0,Грузчик - комплектовщик
301,65,18,0,0,0,Грузчик комплектовщик
302,65,18,0,0,0,Грузчик-комплектовщик на склад
303,66,18,1,0,1,Грузчик-стропальщик
304,66,18,0,0,0,Грузчик -стропальщик
305,66,18,0,0,0,Грузчик- стропальщик
306,66,18,0,0,0,Грузчик - стропальщик
307,66,18,0,0,0,Грузчик стропальщик
308,67,18,1,0,1,Грузчик-такелажник
309,67,18,0,0,0,Грузчик- такелажник
310,67,18,0,0,0,Грузчик -такелажник
311,67,18,0,0,0,Грузчик - такелажник
312,67,18,0,0,0,Грузчик такелажник 
313,68,18,1,0,1,Грузчик-транспортировщик
314,68,18,0,0,0,Грузчик- транспортировщик
315,68,18,0,0,0,Грузчик -транспортировщик
316,68,18,0,0,0,Грузчик - транспортировщик
317,68,18,0,0,0,Грузчик транспортировщик
318,68,18,0,0,0,"Транспортировщик-грузчик
"
319,68,18,0,0,0,Транспортировщик- грузчик
320,68,18,0,0,0,Транспортировщик -грузчик
321,68,18,0,0,0,Транспортировщик - грузчик
322,68,18,0,0,0,Транспортировщик грузчик
323,69,18,1,0,1,Грузчик-экспедитор
324,69,18,0,0,0,Грузчик -экспедитор
325,69,18,0,0,0,Грузчик- экспедитор
326,69,18,0,0,0,Грузчик - экспедитор
327,69,18,0,0,0,Грузчик экспедитор
328,70,19,1,0,1,Диспетчер
329,70,19,0,0,0,Распределитель работ (диспетчер)
330,71,19,1,0,1,Диспетчер-логист
331,71,19,0,0,0,Диспетчер -логист
332,71,19,0,0,0,Диспетчер- логист
333,71,19,0,0,0,Диспетчер - логист
334,71,19,0,0,0,Диспетчер логист
335,71,19,0,0,0,Логист-диспетчер
336,71,19,0,0,0,Логист -диспетчер
337,71,19,0,0,0,Логист- диспетчер
338,71,19,0,0,0,Логист - диспетчер
339,71,19,0,0,0,Логист диспетчер
340,71,19,0,0,0,Диспетчер отдела логистики
341,72,19,1,0,1,Диспетчер производственно-диспетчерской службы
342,72,19,0,0,0,Диспетчер производства
343,72,19,0,0,0,Диспетчер производственно- диспетчерской службы
344,72,19,0,0,0,Диспетчер производственно -диспетчерской службы
345,72,19,0,0,0,Диспетчер производственно - диспетчерской службы
346,72,19,0,0,0,Диспетчер производственно диспетчерской службы
347,73,20,1,0,1,Логист 
348,73,20,0,0,0,Менеджер по логистике
349,73,20,0,0,0,Специалист по логистике
350,73,20,0,0,0,Транспортный логист
351,73,20,0,0,0,Диспетчер-логист
352,73,20,0,0,0,Логист-диспетчер
353,73,20,0,0,0,Специалист отдела логистики
354,73,20,0,0,0,Менеджер отдела логистики
355,73,20,0,0,0,Специалист по транспортной логистике
356,73,20,0,0,0,Менеджер по транспортной логистике
357,73,20,0,0,0,Логист-аналитик
358,73,20,0,1,1,Помощник логиста
359,73,20,0,2,1,Ведущий специалист службы логистики
360,73,20,0,3,1,Старший специалист службы логистики
361,73,20,0,4,1,Руководитель отдела логистики
362,74,20,1,0,1,Логист на склад
363,74,20,0,0,0,Логист склада
364,75,20,1,0,1,Менеджер по закупкам
365,75,20,0,0,0,Специалист по закупкам
366,75,20,0,0,0,Менеджер отдела снабжения
367,75,20,0,0,0,Менеджер отдела закупок
368,75,20,0,1,1,Специалист по закупкам (стажер)
